Inst. peticion: 30.246934506612515 | T. servicio: 0.3695119593287073
Inst. peticion: 30.03506399913425 | T. servicio: 0.34689840119692
Inst. peticion: 29.562400384184958 | T. servicio: 0.4486683933289012
Inst. peticion: 29.221484321910232 | T. servicio: 0.410805014330441
Inst. peticion: 28.90030276795982 | T. servicio: 0.27580978461837835
Inst. peticion: 28.733661442258196 | T. servicio: 0.16293527368643207
Inst. peticion: 28.34926049610323 | T. servicio: 0.2331520251995885
Inst. peticion: 28.189728740592994 | T. servicio: 0.4420735310648703
Inst. peticion: 27.851448208523017 | T. servicio: 0.3268531822210163
Inst. peticion: 27.62669315726867 | T. servicio: 0.24887334502952002
Inst. peticion: 27.258664693508965 | T. servicio: 0.28867634114789
Inst. peticion: 27.071939126634984 | T. servicio: 0.14831119442035573
Inst. peticion: 26.867981300421178 | T. servicio: 0.26223715816739934
Inst. peticion: 26.676578024905513 | T. servicio: 0.4213806556791844
Inst. peticion: 26.415360760154638 | T. servicio: 0.11575845012149907
Inst. peticion: 26.363315530283376 | T. servicio: 0.27359268338192594
Inst. peticion: 26.151927163039023 | T. servicio: 0.06630404756665736
Inst. peticion: 25.663975391695974 | T. servicio: 0.29445378774272607
Inst. peticion: 25.333709329582693 | T. servicio: 0.4047147717681807
Inst. peticion: 25.092527032613088 | T. servicio: 0.08924053367667947
Inst. peticion: 24.661643315939635 | T. servicio: 0.39783344042673247
Inst. peticion: 24.324064538622334 | T. servicio: 0.47564421845233623
Inst. peticion: 24.004978696449086 | T. servicio: 0.08383550472379614
Inst. peticion: 23.78915380601663 | T. servicio: 0.2615847416090317
Inst. peticion: 23.581354966106407 | T. servicio: 0.33103692196415524
Inst. peticion: 23.499206300476263 | T. servicio: 0.38065612370280005
Inst. peticion: 23.013127263432647 | T. servicio: 0.41547756702759897
Inst. peticion: 22.79550573553552 | T. servicio: 0.2969748293722112
Inst. peticion: 22.34812719599292 | T. servicio: 0.06214688739428009
Inst. peticion: 22.086323111304505 | T. servicio: 0.27966039401515586
