Inst. peticion: 0.2831868119541067 | T. servicio: 0.42127860499108855 | Estado: true
Inst. peticion: 0.3702024065180409 | T. servicio: 0.49469403888666685 | Estado: true
Inst. peticion: 0.8335663749923077 | T. servicio: 0.3561157034459653 | Estado: true
Inst. peticion: 0.899271669529728 | T. servicio: 0.22973966006427782 | Estado: true
Inst. peticion: 1.2094199849692344 | T. servicio: 0.3265772202405741 | Estado: true
Inst. peticion: 1.6681342025367898 | T. servicio: 0.27879171162342936 | Estado: true
Inst. peticion: 2.0654437353074675 | T. servicio: 0.05744131133938341 | Estado: true
Inst. peticion: 2.5465752024699606 | T. servicio: 0.21371383020820722 | Estado: true
Inst. peticion: 2.986834562510322 | T. servicio: 0.3514776186155543 | Estado: true
Inst. peticion: 3.0970289917012446 | T. servicio: 0.3822948128787499 | Estado: true
Inst. peticion: 3.4888386365122144 | T. servicio: 0.1454290510669574 | Estado: true
Inst. peticion: 3.8937504520683373 | T. servicio: 0.4876729810094037 | Estado: true
Inst. peticion: 4.078826747986559 | T. servicio: 0.1653405199498041 | Estado: true
Inst. peticion: 4.3210251327771525 | T. servicio: 0.23679545396310325 | Estado: true
Inst. peticion: 4.666095040452721 | T. servicio: 0.34564432142225776 | Estado: true
Inst. peticion: 5.04366108811223 | T. servicio: 0.2776424091272343 | Estado: true
Inst. peticion: 5.1866171302495365 | T. servicio: 0.281739375736405 | Estado: true
Inst. peticion: 5.449750437454289 | T. servicio: 0.12103494283255496 | Estado: true
Inst. peticion: 5.791116443886911 | T. servicio: 0.180032129605395 | Estado: true
Inst. peticion: 6.044222395448196 | T. servicio: 0.3347296428595704 | Estado: true
Inst. peticion: 6.271758967515503 | T. servicio: 0.3827685914525107 | Estado: true
Inst. peticion: 6.573137429114833 | T. servicio: 0.054013166155497325 | Estado: true
Inst. peticion: 7.040982216695732 | T. servicio: 0.10363260494044207 | Estado: true
Inst. peticion: 7.425109567063139 | T. servicio: 0.23568191720281112 | Estado: true
Inst. peticion: 7.78400925471738 | T. servicio: 0.3520980161750178 | Estado: true
Inst. peticion: 7.841750858075283 | T. servicio: 0.41062029843423464 | Estado: true
Inst. peticion: 8.130362408569342 | T. servicio: 0.37602210319238577 | Estado: true
Inst. peticion: 8.392270406723831 | T. servicio: 0.3265048089185366 | Estado: true
Inst. peticion: 8.619807107398726 | T. servicio: 0.48624779016545283 | Estado: true
Inst. peticion: 8.94665739058716 | T. servicio: 0.3504597035212322 | Estado: true
Inst. peticion: 9.37721003910565 | T. servicio: 0.11442135575151807 | Estado: true
Inst. peticion: 9.567341585400536 | T. servicio: 0.48901980307238 | Estado: true
Inst. peticion: 9.784423252068928 | T. servicio: 0.3595902938419159 | Estado: true
Inst. peticion: 10.073384978068805 | T. servicio: 0.4862831519635686 | Estado: true
Inst. peticion: 10.516270196781605 | T. servicio: 0.17802725695532695 | Estado: true
Inst. peticion: 10.611201780479147 | T. servicio: 0.4004313027283456 | Estado: true
Inst. peticion: 10.756660880795069 | T. servicio: 0.23805106279196864 | Estado: true
Inst. peticion: 10.952543324975231 | T. servicio: 0.27751906058204723 | Estado: true
Inst. peticion: 11.333850987377284 | T. servicio: 0.21030775059226825 | Estado: true
Inst. peticion: 11.79855974001513 | T. servicio: 0.06653292499996483 | Estado: true
Inst. peticion: 11.895130424249075 | T. servicio: 0.4770925682530033 | Estado: true
